iteration,continuity,u_momentum,v_momentum,pressure_correction,max_velocity_correction
287,1.336909436e-08,3.479012986e-09,1.605502534e-09,8.697684692e-11,7.820296843e-05
288,1.320535213e-08,3.478081384e-09,1.618698338e-09,8.642322479e-11,7.728330248e-05
289,1.304427135e-08,3.477174084e-09,1.631677391e-09,8.598809425e-11,7.637364203e-05
290,1.288900552e-08,3.476280682e-09,1.644435028e-09,8.595879408e-11,7.547391961e-05
291,1.274194907e-08,3.475398794e-09,1.656968806e-09,8.623687527e-11,7.458404391e-05
292,1.260164621e-08,3.474527485e-09,1.669277254e-09,8.482959552e-11,7.370392608e-05
293,1.246066276e-08,3.473666301e-09,1.681359472e-09,8.670167832e-11,7.283347791e-05
294,1.23193898e-08,3.472814956e-09,1.693214986e-09,8.693563816e-11,7.197261145e-05
295,1.217846001e-08,3.471973229e-09,1.704843689e-09,8.708905959e-11,7.112123897e-05
296,1.203943106e-08,3.471140923e-09,1.716245806e-09,8.720753572e-11,7.027927296e-05
297,1.190114571e-08,3.470317855e-09,1.727421871e-09,8.730526033e-11,6.944662621e-05
298,1.176358278e-08,3.469503851e-09,1.738372699e-09,8.738950294e-11,6.862321186e-05
299,1.162696374e-08,3.468698743e-09,1.749099372e-09,8.746465735e-11,6.780894341e-05
300,1.149144212e-08,3.46790237e-09,1.759603212e-09,8.753326093e-11,6.700373477e-05
301,1.135712343e-08,3.467114574e-09,1.769885767e-09,8.759707432e-11,6.620750024e-05
302,1.122187533e-08,3.466335206e-09,1.779947253e-09,8.764238661e-11,6.542011017e-05
